Type,Manufacturer,Article Number,Size,Label
"Badewanne","Schmidlin","1111 511.100.000","170 x 75","Badewanne Schmidlin Superkombi, 170 x 75 cm, Armlehne, Stahl, Schallisolierung, Tiefe 42 cm Weiss"
"Badewanne","Schmidlin","1111 311.100.000","160 x 70","Badewanne Schmidlin Swiss Line 160 x 70 cm, Tiefe 42 cm Stahl, Schallisolierung Weiss"
"Badewanne","Schmidlin","1111 250.100.000","157 x 68","Badewanne Schmidlin Ocean Vario, 150 - 157 x 68 - 77 cm, Duschteil links, Stahl, Schallisolierung, Tiefe 45 cm, (Masse in 1 cm Schritten frei wählbar) Weiss"
"Badewanne","Schmidlin","1111 694.100.000","180 x 90","Badewanne Schmidlin Cubic, 180 x 90 cm, Schallisolierung, Stahl, Tiefe 45 cm, Ablaufloch Ø 90 mm Weiss"
"Badewanne","Schmidlin","1111 154.100.000","167 x 68","Badewanne Schmidlin Ocean Vario, 158 - 167 x 68 - 75 cm, Duschteil links, Stahl, Schallisolierung, Tiefe 45 cm, (Masse in 1 cm Schritten frei wählbar) Weiss"
"Badewanne","Kaldewei","1113 154.100.000","170 x 75","Badewanne Kaldewei Vaio Set Star- Griff, 170 x 75 cm, Rückenteil rechts, Überlauf vorne, Stahl, Schallisolierung, ohne Griffe Umweltdeklaration EPD Weiss"
"Badewanne","Schmidlin","1111 631.100.000","157 x 70","Badewanne Schmidlin Bambino, 157 x 70/55 cm, Ablauf links, Stahl, Schallisolierung, Tiefe 42 cm Weiss"
"Badewanne","Schmidlin","1111 491.100.000","160 x 75","Badewanne Schmidlin Kombi- Griff, 160 x 75 cm, Stahl, Schallisolierung, Tiefe 38 cm, ohne Griffe Weiss"
"Badewanne","Schmidlin","1111 802.100.000","180 x 75","Badewanne Schmidlin Loft freistehend, 180 x 75 cm, Stahl, mit angeformter emaillierter Schürze, Ab- und Überlaufgarnitur Loft / - Trio vormontiert, verchromt, (separat zu bestellen), Höhe 56 cm, Füllmenge 318 Liter Weiss"
"Badewanne","Schmidlin","1111 155.100.000","167 x 68","Badewanne Schmidlin Ocean Vario, 158 - 167 x 68 - 75 cm, Duschteil rechts, Stahl, Schallisolierung, Tiefe 45 cm, (Masse in 1 cm Schritten frei wählbar) Weiss"
"Badewanne","Schmidlin","1111 248.100.000","180 x 80","Badewanne Schmidlin Norm Classic mit Zargen, 180 x 80 cm, Ablauf links, Zargen vorne, rechts und links, Stahl, Schallisolierung, Tiefe 45 cm Weiss"
"Badewanne","Schmidlin","1111 241.100.000","180 x 80","Badewanne Schmidlin Norm Classic mit Zargen, 180 x 80 cm, Ablauf links, Zarge hinten, Stahl, Schallisolierung, Tiefe 45 cm Weiss"
"Badewanne","Schmidlin","1111 496.100.000","180 x 80","Badewanne Schmidlin Kombi- Griff, 180 x 80 cm, Stahl, Schallisolierung, Tiefe 38 cm, ohne Griffe Weiss"
"Badewanne","Schmidlin","1111 258.100.000","160 x 70","Badewanne Schmidlin Norm Classic mit Loch, 160 x 70 cm, Ablauf und Loch rechts, Stahl, Schallisolierung, Tiefe 45 cm, Loch für Armatur hinten Weiss"
"Badewanne","Schmidlin","1111 264.100.000","170 x 70","Badewanne Schmidlin Norm Classic mit Loch, 170 x 70 cm, Ablauf und Loch rechts, Stahl, Schallisolierung, Tiefe 45 cm, Loch für Armatur hinten Weiss"
"Badewanne","Schmidlin","1111 251.100.000","140 x 70","Badewanne Schmidlin Norm Classic mit Loch, 140 x 70 cm, Tiefe 44 cm, Ablauf und Loch links, Stahl, Schallisolierung, Tiefe 45 cm, Loch für Armatur hinten Weiss"
"Badewanne","Schmidlin","1111 263.100.000","170 x 70","Badewanne Schmidlin Norm Classic mit Loch, 170 x 70 cm, Ablauf und Loch links, Stahl, Schallisolierung, Tiefe 45 cm, Loch für Armatur hinten Weiss"
"Badewanne","Schmidlin","1111 262.100.000","168 x 70","Badewanne Schmidlin Norm Classic mit Loch, 168 x 70 cm, Ablauf und Loch rechts, Stahl, Schallisolierung, Tiefe 45 cm, Loch für Armatur hinten Weiss"
"Badewanne","Schmidlin","1111 261.100.000","168 x 70","Badewanne Schmidlin Norm Classic mit Loch, 168 x 70 cm, Ablauf und Loch links, Stahl, Schallisolierung, Tiefe 45 cm, Loch für Armatur hinten Weiss"
"Badewanne","Schmidlin","1111 252.100.000","140 x 70","Badewanne Schmidlin Norm Classic mit Loch, 140 x 70 cm, Tiefe 44 cm, Ablauf und Loch rechts, Stahl, Schallisolierung, Tiefe 45 cm, Loch für Armatur hinten Weiss"
"Badewanne","Schmidlin","1111 253.100.000","150 x 70","Badewanne Schmidlin Norm Classic mit Loch, 150 x 70 cm, Tiefe 44 cm, Ablauf und Loch links, Stahl, Schallisolierung, Tiefe 45 cm, Loch für Armatur hinten Weiss"
"Badewanne","Schmidlin","1111 257.100.000","160 x 70","Badewanne Schmidlin Norm Classic mit Loch, 160 x 70 cm, Ablauf und Loch links, Stahl, Schallisolierung, Tiefe 45 cm, Loch für Armatur hinten Weiss"
"Badewanne","Schmidlin","1111 254.100.000","150 x 70","Badewanne Schmidlin Norm Classic mit Loch, 150 x 70 cm, Tiefe 44 cm, Ablauf und Loch rechts, Stahl, Schallisolierung, Tiefe 45 cm, Loch für Armatur hinten Weiss"
